pub_id,title,doi,publication_year,openalex_url,original,total_score,F,A,I,R-formats,R protocols,R script,R variables,R License,Notes
J0CGOY,Epibiont communities on mussels in relation to parasitism and location in the rocky intertidal zone,https://doi.org/10.1093/femsec/fiae101,2024,https://openalex.org/W4401557023,yes,3.1,0.5,1,1,0.2,0.2,0.2,0,0,"unstructured in methods, no hyperlink, but accession code given which resulted in immediate search success at named database, FASTQ standard text format freely downloadable for raw data, usable data is programmatically generated, variables are not well described, only by context and comments in script and requires good knowledge of technique, various licenses are discussed on repository but is unclear which applies to this dataset, article itself is CC-BY"
3M7H2G,No Effect of Realistic Concentrations of Polyester Microplastic Fibers on Freshwater Zooplankton Communities,https://doi.org/10.1002/etc.5797,2023,https://openalex.org/W4389140566,yes,3.8,1,1,1,0.2,0.2,0,0.2,0.2,"data is available on dryad with doi indicated, but not as a working hyperlink. CSV format. Variables described, on the edge of “fulsomly”, but I gave it. CC0 license on dryad page"
R0VDLY,Ecological and environmental context shape the differential effects of a facilitator in its native and invaded ranges,https://doi.org/10.1002/ecy.3478,2021,https://openalex.org/W3179826834,yes,4,1,1,1,0.2,0.2,0.2,0.2,0.2,"Paper is not open-access. Structured statement under “Open Science” header to data on figshare and code on zenodo. Data is CSV. Collection details are in paper but not data .zip except as abstract. License is specified as CCBY on Figshare, but “Other (Open)” with no details on Zenodo for code"
MJCM5M,Genomic divergence and introgression between cryptic species of a widespread North American songbird,https://doi.org/10.1111/mec.17169,2023,https://openalex.org/W4388232027,yes,3.8,1,1,1,0.2,0.2,0.2,0.2,0,"Paper is not open access. Structured statement. Working link to Dryad with script described as example. Unknown if complete, as testing would require significant DRAC time. Script is well annotated. Full files are on repository requiring search by id number given in paper, not a hyperlink. Data is given in standard genetic formats. Brief collection protocols in metadata, detailed in paper. Description of data is brief but complete as it is only genetic data. Dryad data is CC0, but NCBI license is not immediately apparent. My understanding is NCBI data is under a US govt open license, but couldnt confirm this with searching."
YQOMDB,Quantifying impacts of recreation on elk (<i>Cervus canadensis</i>) using novel modeling approaches,https://doi.org/10.1002/ecs2.4873,2024,https://openalex.org/W4399828447,yes,3.8,1,1,1,0.2,0.2,0,0.2,0.2,Structured statement with working DOI hyperlink. Data in CSV. Metadata with great variable descriptions. Also describes R scripts that are missing from repo. CC0
0FWV9J,Kleptoparasites of social spider colonies do not track hosts' subdivided population structure,https://doi.org/10.1111/mec.16718,2022,https://openalex.org/W4302424781,yes,3.8,1,1,1,0.2,0.2,0.2,0.2,0,Paper is not open-access. Structured statement requiring search on NCBI but with project number and immediate result. Code and more data on Zenondo -> CC0. Data in standard/open genetic formats and CSVs. Collection protocols are in paper only. Question about NCBI license as per previous papers. Variables are described in NCBI metadata.
AJCITV,"Quantifying throughfall, stemflow and interception loss in five vegetation communities in a maritime raised bog",https://doi.org/10.1016/j.agrformet.2022.109202,2022,https://openalex.org/W4307029833,yes,0.2,0,0,0,0,0.2,0,0,0,Paper is not open-access. Structured statement that data is held by govt bodies. No reference or pointer to find it. Collection protocols in paper.
Y6WJ1C,Using accelerometry tags to quantify gray whale foraging behavior,https://doi.org/10.1111/mms.13210,2024,https://openalex.org/W4404872509,yes,0.4,0,0,0,0,0.2,0.2,0,0,"Data not available, R script as sup mat. Collection protocols in paper and R script for processing with comments."
JH6EM1,Spatio-temporal patterns in coral reef composition and function across an altered environmental gradient: A 15-year study in the Caribbean,https://doi.org/10.3389/fmars.2022.977551,2023,https://openalex.org/W4313584893,yes,2.4,1,0,1,0.2,0.2,0,0,0,"Major section of data restricted and good reasons given. Access protocols are vague, simply “upon request”. Subset of data provided is in open formats (e.g. CSV). Some data reused from other authors is CC0. Unclear license and no script for most data that is attached as sup mat."
HV8US8,Hyperabundant black-tailed deer impact endangered Garry oak ecosystem floral and bumblebee communities,https://doi.org/10.1016/j.gecco.2022.e02237,2022,https://openalex.org/W4286675749,yes,0.2,0,0,0,0,0.2,0,0,0,Structured statement saying available on request without explanation. Collection protocols in paper.
QOUIZX,Interannual climatic sensitivity of surface energy flux densities and evapotranspiration in a disturbed and rewetted ombrotrophic bog,https://doi.org/10.1016/j.agrformet.2025.110501,2025,https://openalex.org/W4408853494,yes,1,1,0,0,0,0,0,0,0,"Structured statement requiring a quick search by project ID. Much data is govt and unavailable with no project ID. Data that is available is good, in CSV, with clear CC-BY license. Collection protocols are in paper. Variables are not described in metadata. No script attached anywhere."
A4ZMZ1,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,https://doi.org/10.1111/ibi.12950,2021,https://openalex.org/W3136340045,yes,0,0,0,0,0,0,0,0,0,"Paper is not open access. Required search on repo. Only one of two projects could be found. Data download link on repo says no data available for download, but data is visible on map view. No script. No license on data page (field is Custom and ‘Not set’)"
