pub_id,title,doi,publication_year,openalex_url,original,Findable,Accessible,Interoperable,Reusable_File formats are identified,Reusable: Collection protocols are noted,Reusable: Includes scripted data processing,Reusable: Variables are fulsomely described,"Reusable: A publicly sourced license is attached, or a bespoke license is included with a lay summary",total,Notes
J0CGOY,Epibiont communities on mussels in relation to parasitism and location in the rocky intertidal zone,https://doi.org/10.1093/femsec/fiae101,2024,https://openalex.org/W4401557023,yes,0,0,0,0,0,0,0,0,0,"supplementary data are listed and link works, but it just contains the supplementary tables and figures, no raw data"
3M7H2G,No Effect of Realistic Concentrations of Polyester Microplastic Fibers on Freshwater Zooplankton Communities,https://doi.org/10.1002/etc.5797,2023,https://openalex.org/W4389140566,yes,1,1,1,0.2,0.2,0,0.2,0.2,3.8,
R0VDLY,Ecological and environmental context shape the differential effects of a facilitator in its native and invaded ranges,https://doi.org/10.1002/ecy.3478,2021,https://openalex.org/W3179826834,yes,1,1,1,0.2,0,0.2,0.2,0.2,3.8,"lots of metadata in the figshare and zenodo, but there wasn't really any description of the methods "
MJCM5M,Genomic divergence and introgression between cryptic species of a widespread North American songbird,https://doi.org/10.1111/mec.17169,2023,https://openalex.org/W4388232027,yes,1,1,1,0.2,0.2,0.2,0,0.2,3.8,"I based my scores on the dryad repository linked in the data statement, but other sequence data are also mentioned"
YQOMDB,Quantifying impacts of recreation on elk (<i>Cervus canadensis</i>) using novel modeling approaches,https://doi.org/10.1002/ecs2.4873,2024,https://openalex.org/W4399828447,yes,1,1,1,0.2,0.2,0.2,0.2,0.2,4,
0FWV9J,Kleptoparasites of social spider colonies do not track hosts' subdivided population structure,https://doi.org/10.1111/mec.16718,2022,https://openalex.org/W4302424781,yes,1,1,1,0.2,0,0.2,0.2,0.2,3.8,
AJCITV,"Quantifying throughfall, stemflow and interception loss in five vegetation communities in a maritime raised bog",https://doi.org/10.1016/j.agrformet.2022.109202,2022,https://openalex.org/W4307029833,yes,0,0,0,0,0,0,0,0,0,
Y6WJ1C,Using accelerometry tags to quantify gray whale foraging behavior,https://doi.org/10.1111/mms.13210,2024,https://openalex.org/W4404872509,yes,0,0,0,0,0,0,0,0,0,
JH6EM1,Spatio-temporal patterns in coral reef composition and function across an altered environmental gradient: A 15-year study in the Caribbean,https://doi.org/10.3389/fmars.2022.977551,2023,https://openalex.org/W4313584893,yes,1,1,1,0,0,0,0,0,3,"csv of data provided in supplement, but no metadata. Also states that ""Estimates of missing trait values are in bold"" but csv files don�t save font features (so nothing is bolded in the dataset)"
HV8US8,Hyperabundant black-tailed deer impact endangered Garry oak ecosystem floral and bumblebee communities,https://doi.org/10.1016/j.gecco.2022.e02237,2022,https://openalex.org/W4286675749,yes,0,0,0,0,0,0,0,0,0,
QOUIZX,Interannual climatic sensitivity of surface energy flux densities and evapotranspiration in a disturbed and rewetted ombrotrophic bog,https://doi.org/10.1016/j.agrformet.2025.110501,2025,https://openalex.org/W4408853494,yes,0,0,0,0,0,0,0,0,0,
A4ZMZ1,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,https://doi.org/10.1111/ibi.12950,2021,https://openalex.org/W3136340045,yes,0.5,0,0,0,0,0,0,0,0.5,"authors provide the study codes for the movebank datasets they used, but I tried to download data from movebank and it said ""no data available for download"". Gave 0.5 for findable because there was a link and I was able to use the info to lookup the studies (but not download the data)"
F75IPQ,Summer distribution and habitat preference of beluga whale social groups in the Eastern Beaufort Sea,https://doi.org/10.1139/as-2022-0035,2023,https://openalex.org/W4322622986,yes,0,0,0,0,0,0,0,0,0,
