pub_id,title,doi,publication_year,openalex_url,F-Score,A-score,I-score,R_fileformats,R_collectionprotocols,R_scriptedprocessing,R_variables,R_license,total_score,notes
TLL4FA,"A new species of Sisyra Burmeister, 1839 (Neuroptera: Sisyridae) from Peru, with identification key to the Neotropical species of the genus",https://doi.org/10.1590/1806-9665-rbent-2022-0051,2022,https://openalex.org/W4312270662,0,0,0,0,0,0,0,0,0,There doesn't seem to be any raw data available anywhere
P1V2N5,"Effects of log booms on physical habitat, water quality, and benthic invertebrates in the lower Fraser River and estuary",https://doi.org/10.1139/cjfr-2023-0163,2024,https://openalex.org/W4400640979,0,0,0,0,0,0,0,0,0,can't find any information about the data
YQOMDB,Quantifying impacts of recreation on elk (<i>Cervus canadensis</i>) using novel modeling approaches,https://doi.org/10.1002/ecs2.4873,2024,https://openalex.org/W4399828447,1,1,1,0.2,0.2,0.2,0.2,0.2,4,what a great repo!!
QQ86EY,"Overview of Brine-Hosted Lithium Mineral Resources, Distribution, and Genesis in the Western Canada Sedimentary Basin",https://doi.org/10.3749/2400035,2025,https://openalex.org/W4412735071,0,0,0,0,0,0,0,0,0,supp file apparently has data but it's nowhere to be found 
TYO40B,Temporal and spatial evolution of bottom-water hypoxia in the St Lawrence estuarine system,https://doi.org/10.5194/bg-20-839-2023,2023,https://openalex.org/W4321787630,1,1,1,0.2,0,0,0,0,3.2,"One of the datasets links to a general page. The second is findable and accessible on OSF. The third: 'These data have been collected recently and are currently not publicly available."" Should this rate low, due to lack of a justification? R score: no license, collection protocol, code, or data dictionary on OSF dataset"
A8AS63,Strong scale‐dependent relationships between fine‐root function and soil properties uncovered with spatially coupled sampling,https://doi.org/10.1111/nph.70143,2025,https://openalex.org/W4409974870,1,1,1,0.2,0.2,0,0.2,0,3.6,no code or license
BRJRAI,Modeling Mycorrhizal Carbon Costs in Temperate Forests: The Impacts of Functional Diversity and Global Change Factors,https://doi.org/10.1029/2025jg009198,2025,https://openalex.org/W4415313587,1,1,1,0.2,0.2,0,0,0.2,3.6,I don't see a data dictionary or code
QEJPFN,Plant-Pollinator Specialization: Origin and Measurement of Curvature,https://doi.org/10.1086/717677,2021,https://openalex.org/W3205813039,1,1,1,0.2,0,0.2,0.2,0.2,3.8,No collection protocol that I can see
JWDP8N,Combining camera trap surveys and IUCN range maps to improve knowledge of species distributions,https://doi.org/10.1111/cobi.14221,2023,https://openalex.org/W4388499228,0.5,0,0,0,0,0,0,0,0.5,"the methods link to 3 other papers that contain the datasets they used. These papers would have to be downloaded to look for the data, then filtered according to the authors specifications given in their methods. I count this as an unstructured statement with a working (-ish?) pointer. But since the actual dataset wasn't easily accessible, I scored 0s for the rest of the categories. "
3KDYC4,"The cold tolerance of the terrestrial slug, Ambigolimax valentianus",https://doi.org/10.1007/s00359-025-01730-z,2025,https://openalex.org/W4406274889,1,1,1,0.2,0,0,0.2,0.2,3.6,no collection protocol or processing code
3M7H2G,No Effect of Realistic Concentrations of Polyester Microplastic Fibers on Freshwater Zooplankton Communities,https://doi.org/10.1002/etc.5797,2023,https://openalex.org/W4389140566,1,1,1,0.2,0.2,0,0.2,0.2,3.8,no code
V5D7TV,Patterns of functional diversity along latitudinal gradients of species richness in eleven fish families,https://doi.org/10.1111/geb.13633,2023,https://openalex.org/W4319834864,1,1,1,0.2,0,0,0.2,0.2,3.6,"I don't see collection protocols, not clear which code processes the raw data "
A415C6,Game over for gamefishes after zebra and quagga mussel invasion: not in prairie lakes?,https://doi.org/10.1139/cjfas-2025-0028,2025,https://openalex.org/W4417408600,0,0,0,0,0,0,0,0,0,I don't see any information on how to access data 
AKWYAK,"Weather and catchment morphology drive thermal regime variation among subarctic ponds, and possible effects on resident Arctic charr",https://doi.org/10.1007/s10452-026-10269-3,2026,https://openalex.org/W7135049694,1,1,1,0.2,0,0.2,0,0.2,3.6,no data dictionary or collection protocol 
NQTETG,The fitness landscape of a community of Darwin’s finches,https://doi.org/10.1093/evolut/qpad160,2023,https://openalex.org/W4386466865,1,1,1,0.2,0.2,0.2,0.2,0.2,4,
K7BFTR,Species Loss Scenarios Identify Canada's Northern Ecosystems as Disproportionately Vulnerable,https://doi.org/10.1111/jbi.70139,2026,https://openalex.org/W7123352686,1,1,1,0.2,0,0,0,0.2,3.4,"no processing code, no collection protocol, no data dictionary "
